,timestamp,oi,notional,datetime
0,1674109500,100983.53100000,2100809221.36749720,2023-01-19 14:25:00
1,1674109200,100959.05000000,2100373735.45887800,2023-01-19 14:20:00
2,1674108900,100869.62800000,2100438524.73240000,2023-01-19 14:15:00
3,1674108600,100870.72900000,2101962641.38802120,2023-01-19 14:10:00
4,1674108300,100873.10500000,2099522370.91750000,2023-01-19 14:05:00
5,1674108000,100901.46800000,2100283609.15994700,2023-01-19 14:00:00
6,1674107700,100850.77100000,2098266806.85261700,2023-01-19 13:55:00
7,1674107400,100811.12300000,2097244359.55510000,2023-01-19 13:50:00
8,1674107100,100784.31800000,2096347955.15827160,2023-01-19 13:45:00
9,1674106800,100766.44700000,2096070015.47646210,2023-01-19 13:40:00
10,1674106500,100734.08700000,2097308551.64635850,2023-01-19 13:35:00
11,1674106200,100687.75000000,2096488684.72379540,2023-01-19 13:30:00
12,1674105900,100754.46300000,2098644936.16590000,2023-01-19 13:25:00
13,1674105600,100784.16400000,2099918684.27120000,2023-01-19 13:20:00
14,1674105300,100769.57900000,2100452682.15540840,2023-01-19 13:15:00
15,1674105000,100763.67000000,2099377778.20444320,2023-01-19 13:10:00
16,1674104700,100758.55900000,2097856945.60382840,2023-01-19 13:05:00
17,1674104400,100778.76700000,2097309296.09295060,2023-01-19 13:00:00
18,1674104100,100784.50800000,2098797022.09048150,2023-01-19 12:55:00
19,1674103800,100789.49600000,2097873208.93960830,2023-01-19 12:50:00
20,1674103500,100805.90600000,2099231663.26915030,2023-01-19 12:45:00
21,1674103200,100886.49400000,2102242496.02380000,2023-01-19 12:40:00
22,1674102900,101131.98700000,2108106382.21370000,2023-01-19 12:35:00
23,1674102600,101558.94200000,2115034931.71855970,2023-01-19 12:30:00
24,1674102300,101578.56400000,2114262337.39385940,2023-01-19 12:25:00
25,1674102000,101523.05400000,2110229219.06082100,2023-01-19 12:20:00
26,1674101700,101479.18700000,2110087179.04710000,2023-01-19 12:15:00
27,1674101400,101310.65300000,2105469652.29990460,2023-01-19 12:10:00
28,1674101100,101233.91200000,2102437225.85261680,2023-01-19 12:05:00
29,1674100800,101095.24800000,2097679090.17204380,2023-01-19 12:00:00
30,1674100500,101241.25000000,2102353055.68104980,2023-01-19 11:55:00
31,1674100200,101297.42200000,2105179534.53665520,2023-01-19 11:50:00
