t,t,v
2020-02-21 16:00:00,2020-02-21 16:00:00,20920.4303737274
2020-02-21 17:00:00,2020-02-21 17:00:00,20714.8505523395
2020-02-21 18:00:00,2020-02-21 18:00:00,20855.4070251552
2020-02-21 19:00:00,2020-02-21 19:00:00,20836.1356234625
2020-02-21 20:00:00,2020-02-21 20:00:00,20718.5959391271
2020-02-21 21:00:00,2020-02-21 21:00:00,20328.8707541571
2020-02-21 22:00:00,2020-02-21 22:00:00,20276.3656873168
2020-02-21 23:00:00,2020-02-21 23:00:00,20247.7909420635
2020-02-22 00:00:00,2020-02-22 00:00:00,20221.313408657
2020-02-22 01:00:00,2020-02-22 01:00:00,20197.509175741
2020-02-22 02:00:00,2020-02-22 02:00:00,20166.3504622818
2020-02-22 03:00:00,2020-02-22 03:00:00,19894.0649179163
2020-02-22 04:00:00,2020-02-22 04:00:00,20105.314194
2020-02-22 05:00:00,2020-02-22 05:00:00,19961.156142717
2020-02-22 06:00:00,2020-02-22 06:00:00,20188.7920064318
2020-02-22 07:00:00,2020-02-22 07:00:00,20212.2125469393
2020-02-22 08:00:00,2020-02-22 08:00:00,20165.5795793021
2020-02-22 09:00:00,2020-02-22 09:00:00,20224.7042191131
2020-02-22 10:00:00,2020-02-22 10:00:00,20211.332850538
2020-02-22 11:00:00,2020-02-22 11:00:00,20291.53910218
2020-02-22 12:00:00,2020-02-22 12:00:00,20260.0943586178
2020-02-22 13:00:00,2020-02-22 13:00:00,20430.2408965674
2020-02-22 14:00:00,2020-02-22 14:00:00,20405.8721224231
2020-02-22 15:00:00,2020-02-22 15:00:00,20297.898083763
2020-02-22 16:00:00,2020-02-22 16:00:00,20334.2544166892
2020-02-22 17:00:00,2020-02-22 17:00:00,20695.0379967996
2020-02-22 18:00:00,2020-02-22 18:00:00,20684.6391053028
2020-02-22 19:00:00,2020-02-22 19:00:00,20793.1472383946
2020-02-22 20:00:00,2020-02-22 20:00:00,20718.8622600421
2020-02-22 21:00:00,2020-02-22 21:00:00,20725.6269513192
2020-02-22 22:00:00,2020-02-22 22:00:00,20709.1792394092
2020-02-22 23:00:00,2020-02-22 23:00:00,20701.0429761427
2020-02-23 00:00:00,2020-02-23 00:00:00,20722.3724486894
2020-02-23 01:00:00,2020-02-23 01:00:00,20734.2192095479
2020-02-23 02:00:00,2020-02-23 02:00:00,20608.0295865813
2020-02-23 03:00:00,2020-02-23 03:00:00,20540.5517245247
2020-02-23 04:00:00,2020-02-23 04:00:00,20919.5137250373
2020-02-23 05:00:00,2020-02-23 05:00:00,21303.2692032225
2020-02-23 06:00:00,2020-02-23 06:00:00,21512.8331148669
2020-02-23 07:00:00,2020-02-23 07:00:00,21503.9040984253
2020-02-23 08:00:00,2020-02-23 08:00:00,21860.6256026837
2020-02-23 09:00:00,2020-02-23 09:00:00,21953.533947383
2020-02-23 10:00:00,2020-02-23 10:00:00,22009.2446163301
2020-02-23 11:00:00,2020-02-23 11:00:00,22483.4555192957
2020-02-23 12:00:00,2020-02-23 12:00:00,22535.8352675575
2020-02-23 13:00:00,2020-02-23 13:00:00,22572.2695795849
2020-02-23 14:00:00,2020-02-23 14:00:00,22650.9145006245
2020-02-23 15:00:00,2020-02-23 15:00:00,22489.3628542561
2020-02-23 16:00:00,2020-02-23 16:00:00,22496.2528775201
2020-02-23 17:00:00,2020-02-23 17:00:00,22560.0002357386
2020-02-23 18:00:00,2020-02-23 18:00:00,22470.8040411217
2020-02-23 19:00:00,2020-02-23 19:00:00,22464.755896515
2020-02-23 20:00:00,2020-02-23 20:00:00,22359.7538711613
2020-02-23 21:00:00,2020-02-23 21:00:00,22326.433219192
2020-02-23 22:00:00,2020-02-23 22:00:00,22210.4961606252
2020-02-23 23:00:00,2020-02-23 23:00:00,22431.0083229297
2020-02-24 00:00:00,2020-02-24 00:00:00,22256.2747525898
2020-02-24 01:00:00,2020-02-24 01:00:00,21834.3770829775
2020-02-24 02:00:00,2020-02-24 02:00:00,20222.7414268532
2020-02-24 03:00:00,2020-02-24 03:00:00,19722.1808418852
