,t,v
0,2020-02-21 16:00:00,198181.545539765
1,2020-02-21 17:00:00,197868.90473153
2,2020-02-21 18:00:00,197838.978316327
3,2020-02-21 19:00:00,196350.558186226
4,2020-02-21 20:00:00,192777.638800665
5,2020-02-21 21:00:00,196085.493752381
6,2020-02-21 22:00:00,198438.560717258
7,2020-02-21 23:00:00,201200.234939532
8,2020-02-22 00:00:00,200174.880640905
9,2020-02-22 01:00:00,201112.93150737
10,2020-02-22 02:00:00,201414.303892842
11,2020-02-22 03:00:00,201355.664818682
12,2020-02-22 04:00:00,202546.311318589
13,2020-02-22 05:00:00,203834.257593749
14,2020-02-22 06:00:00,202245.604832786
15,2020-02-22 07:00:00,202564.802171897
16,2020-02-22 08:00:00,203102.504475433
17,2020-02-22 09:00:00,202640.398656215
18,2020-02-22 10:00:00,203341.911314514
19,2020-02-22 11:00:00,203376.043108729
20,2020-02-22 12:00:00,207834.681376641
21,2020-02-22 13:00:00,211048.27457395
22,2020-02-22 14:00:00,212201.624852116
23,2020-02-22 15:00:00,209522.720457676
24,2020-02-22 16:00:00,209998.492741313
25,2020-02-22 17:00:00,208311.89141116
26,2020-02-22 18:00:00,208685.984857154
27,2020-02-22 19:00:00,209596.996321416
28,2020-02-22 20:00:00,210120.252330735
29,2020-02-22 21:00:00,209870.007271204
30,2020-02-22 22:00:00,211056.887115252
31,2020-02-22 23:00:00,212304.437174977
32,2020-02-23 00:00:00,212756.416263937
33,2020-02-23 01:00:00,213566.309991982
34,2020-02-23 02:00:00,215115.817863664
35,2020-02-23 03:00:00,212208.973598227
36,2020-02-23 04:00:00,214102.298302163
37,2020-02-23 05:00:00,211569.390362429
38,2020-02-23 06:00:00,211541.951188064
39,2020-02-23 07:00:00,214773.935855749
40,2020-02-23 08:00:00,214887.227128289
41,2020-02-23 09:00:00,213348.149188514
42,2020-02-23 10:00:00,210820.811396557
43,2020-02-23 11:00:00,212923.203172485
44,2020-02-23 12:00:00,212233.102620087
45,2020-02-23 13:00:00,214696.733650548
46,2020-02-23 14:00:00,216497.668833554
47,2020-02-23 15:00:00,217094.063037355
48,2020-02-23 16:00:00,217308.024891815
49,2020-02-23 17:00:00,216895.940369004
50,2020-02-23 18:00:00,214077.379295073
51,2020-02-23 19:00:00,212491.749345911
52,2020-02-23 20:00:00,214146.710172816
53,2020-02-23 21:00:00,215828.109286189
54,2020-02-23 22:00:00,213801.407767346
55,2020-02-23 23:00:00,210456.296757741
56,2020-02-24 00:00:00,207302.678785457
57,2020-02-24 01:00:00,207640.367346192
58,2020-02-24 02:00:00,204081.737260558
59,2020-02-24 03:00:00,207186.706863733
60,2020-02-24 04:00:00,206901.937434477
61,2020-02-24 05:00:00,208973.786310455
62,2020-02-24 06:00:00,205615.452570872
63,2020-02-24 07:00:00,206984.708834213
64,2020-02-24 08:00:00,208830.874724124
65,2020-02-24 09:00:00,210449.868553601
66,2020-02-24 10:00:00,209874.894313505
67,2020-02-24 11:00:00,208122.342992839
68,2020-02-24 12:00:00,209957.977057283
69,2020-02-24 13:00:00,211330.885211919
70,2020-02-24 14:00:00,209058.571630415
71,2020-02-24 15:00:00,212124.811548674
72,2020-02-24 16:00:00,209876.559131374
73,2020-02-24 17:00:00,216055.859033653
74,2020-02-24 18:00:00,213841.854040829
75,2020-02-24 19:00:00,212281.80779997
76,2020-02-24 20:00:00,213122.04076876
77,2020-02-24 21:00:00,208453.739503524
78,2020-02-24 22:00:00,207917.319087671
79,2020-02-24 23:00:00,204443.717963172
80,2020-02-25 00:00:00,202635.91158756
81,2020-02-25 01:00:00,204411.555948309
82,2020-02-25 02:00:00,206773.276438835
83,2020-02-25 03:00:00,208536.601893202
84,2020-02-25 04:00:00,211470.277004816
85,2020-02-25 05:00:00,216782.782399198
86,2020-02-25 06:00:00,218612.592430294
87,2020-02-25 07:00:00,223289.333086487
88,2020-02-25 08:00:00,223754.225913493
89,2020-02-25 09:00:00,225078.37727921
90,2020-02-25 10:00:00,225765.397934316
91,2020-02-25 11:00:00,222116.575647589
92,2020-02-25 12:00:00,226249.300955657
93,2020-02-25 13:00:00,223749.297640931
94,2020-02-25 14:00:00,227765.418087998
95,2020-02-25 15:00:00,228375.832479651
96,2020-02-25 16:00:00,232603.246952942
97,2020-02-25 17:00:00,229874.45515946
98,2020-02-25 18:00:00,224550.262177027
99,2020-02-25 19:00:00,222324.684684324
100,2020-02-25 20:00:00,224595.951651894
101,2020-02-25 21:00:00,222240.460903545
102,2020-02-25 22:00:00,220511.869184891
103,2020-02-25 23:00:00,222114.571652657
104,2020-02-26 00:00:00,225222.707097715
105,2020-02-26 01:00:00,234756.610735488
106,2020-02-26 02:00:00,241172.837392313
107,2020-02-26 03:00:00,245922.045243958
108,2020-02-26 04:00:00,246493.920581516
109,2020-02-26 05:00:00,248965.630135281
110,2020-02-26 06:00:00,244550.601461843
111,2020-02-26 07:00:00,245485.754785741
112,2020-02-26 08:00:00,246072.22819804
113,2020-02-26 09:00:00,253016.916038295
114,2020-02-26 10:00:00,262101.708328073
115,2020-02-26 11:00:00,263240.15010185
116,2020-02-26 12:00:00,253242.614882561
117,2020-02-26 13:00:00,260456.697454669
118,2020-02-26 14:00:00,250803.755310001
119,2020-02-26 15:00:00,250302.084147785
120,2020-02-26 16:00:00,252891.536931295
121,2020-02-26 17:00:00,233454.038397178
122,2020-02-26 18:00:00,216518.456346614
123,2020-02-26 19:00:00,214797.33227573
124,2020-02-26 20:00:00,216877.840609718
125,2020-02-26 21:00:00,215393.267236795
126,2020-02-26 22:00:00,214305.191696113
127,2020-02-26 23:00:00,216844.392719201
128,2020-02-27 00:00:00,222537.540677576
129,2020-02-27 01:00:00,223094.574781134
130,2020-02-27 02:00:00,221021.832804816
131,2020-02-27 03:00:00,226617.631329042
132,2020-02-27 04:00:00,225824.004906681
133,2020-02-27 05:00:00,226115.700027061
134,2020-02-27 06:00:00,220037.479837449
135,2020-02-27 07:00:00,220954.749447049
136,2020-02-27 08:00:00,222481.827682628
137,2020-02-27 09:00:00,222179.771839535
138,2020-02-27 10:00:00,222000.143233512
139,2020-02-27 11:00:00,222581.389910274
140,2020-02-27 12:00:00,218946.526046491
141,2020-02-27 13:00:00,214988.103561716
142,2020-02-27 14:00:00,214201.565258867
143,2020-02-27 15:00:00,214142.073593825
144,2020-02-27 16:00:00,211836.694656489
145,2020-02-27 17:00:00,202114.172146022
146,2020-02-27 18:00:00,199907.065971629
147,2020-02-27 19:00:00,200794.896286812
148,2020-02-27 20:00:00,201326.16483705
149,2020-02-27 21:00:00,205441.979603499
150,2020-02-27 22:00:00,204962.379929886
151,2020-02-27 23:00:00,205747.879340239
152,2020-02-28 00:00:00,205698.232428913
153,2020-02-28 01:00:00,203155.140238392
154,2020-02-28 02:00:00,204546.868578051
155,2020-02-28 03:00:00,203523.082818617
156,2020-02-28 04:00:00,205308.215623374
157,2020-02-28 05:00:00,205886.104362666
158,2020-02-28 06:00:00,208536.278084715
159,2020-02-28 07:00:00,218815.039343968
160,2020-02-28 08:00:00,219364.208799503
161,2020-02-28 09:00:00,224159.881976797
162,2020-02-28 10:00:00,222085.960970512
163,2020-02-28 11:00:00,221571.303473742
164,2020-02-28 12:00:00,228112.398919117
165,2020-02-28 13:00:00,223201.693189964
166,2020-02-28 14:00:00,219670.039369725
167,2020-02-28 15:00:00,222878.301693108
168,2020-02-28 16:00:00,224760.92538777
169,2020-02-28 17:00:00,226340.551039571
170,2020-02-28 18:00:00,218492.328452445
171,2020-02-28 19:00:00,219756.057100499
172,2020-02-28 20:00:00,221068.830168542
173,2020-02-28 21:00:00,219745.576274181
174,2020-02-28 22:00:00,222945.821261324
175,2020-02-28 23:00:00,224077.867035282
176,2020-02-29 00:00:00,226567.547418289
177,2020-02-29 01:00:00,222504.14883456
178,2020-02-29 02:00:00,221676.782711508
179,2020-02-29 03:00:00,220610.157469717
180,2020-02-29 04:00:00,226122.361125452
181,2020-02-29 05:00:00,228188.799793157
182,2020-02-29 06:00:00,229289.977798133
183,2020-02-29 07:00:00,228070.596843992
184,2020-02-29 08:00:00,226272.113816163
185,2020-02-29 09:00:00,227151.17987427
186,2020-02-29 10:00:00,230018.194015185
187,2020-02-29 11:00:00,230916.819882108
188,2020-02-29 12:00:00,231383.78688017
189,2020-02-29 13:00:00,233739.712626285
190,2020-02-29 14:00:00,232088.783970562
191,2020-02-29 15:00:00,232604.471596951
192,2020-02-29 16:00:00,223556.581433807
193,2020-02-29 17:00:00,223018.366108322
194,2020-02-29 18:00:00,221190.16708771
195,2020-02-29 19:00:00,221289.746244256
196,2020-02-29 20:00:00,222294.298840838
197,2020-02-29 21:00:00,220415.442992662
198,2020-02-29 22:00:00,220017.887860082
199,2020-02-29 23:00:00,218091.935417711
200,2020-03-01 00:00:00,217418.315722062
201,2020-03-01 01:00:00,218182.111076106
202,2020-03-01 02:00:00,217923.058584505
203,2020-03-01 03:00:00,218126.069762255
204,2020-03-01 04:00:00,221633.935645783
205,2020-03-01 05:00:00,222203.205874415
206,2020-03-01 06:00:00,223048.138447613
207,2020-03-01 07:00:00,225256.743397086
208,2020-03-01 08:00:00,224391.122252375
209,2020-03-01 09:00:00,221651.227138643
210,2020-03-01 10:00:00,221838.380574111
211,2020-03-01 11:00:00,228674.028666964
212,2020-03-01 12:00:00,226957.562088871
213,2020-03-01 13:00:00,209139.877137996
214,2020-03-01 14:00:00,210072.571176311
215,2020-03-01 15:00:00,210846.1861919
216,2020-03-01 16:00:00,214142.433807238
217,2020-03-01 17:00:00,218976.187837651
218,2020-03-01 18:00:00,222152.442457631
219,2020-03-01 19:00:00,217926.146804676
220,2020-03-01 20:00:00,219002.542954049
221,2020-03-01 21:00:00,221603.215939261
222,2020-03-01 22:00:00,216012.746213672
223,2020-03-01 23:00:00,214197.122877488
224,2020-03-02 00:00:00,217389.621385831
