,timestamp,oi,notional,datetime
0,1675248000,97901.97500000,2247369206.71750000,2023-02-01 18:40:00
1,1675247700,98019.56600000,2251342797.75780000,2023-02-01 18:35:00
2,1675247400,97985.83800000,2251286933.07704640,2023-02-01 18:30:00
3,1675247100,98016.55100000,2253351499.21450000,2023-02-01 18:25:00
4,1675246800,97968.95400000,2252923456.87020000,2023-02-01 18:20:00
5,1675246500,97973.75700000,2253523433.49000070,2023-02-01 18:15:00
6,1675246200,97941.88100000,2251771991.88290000,2023-02-01 18:10:00
7,1675245900,97936.49500000,2251396289.76869060,2023-02-01 18:05:00
8,1675245600,97958.52500000,2252291794.35750000,2023-02-01 18:00:00
9,1675245300,97859.03400000,2249045643.16045480,2023-02-01 17:55:00
10,1675245000,97832.69700000,2249506335.19980000,2023-02-01 17:50:00
11,1675244700,97703.01900000,2245303309.33710000,2023-02-01 17:45:00
12,1675244400,97672.31400000,2245388826.54600000,2023-02-01 17:40:00
13,1675244100,97596.68900000,2244333460.24400000,2023-02-01 17:35:00
14,1675243800,97592.40700000,2246146101.69604400,2023-02-01 17:30:00
15,1675243500,97632.69900000,2245796158.74750000,2023-02-01 17:25:00
16,1675243200,97722.08700000,2248331144.44380000,2023-02-01 17:20:00
17,1675242900,97817.74800000,2248517009.72640000,2023-02-01 17:15:00
18,1675242600,97761.82500000,2243780526.48750000,2023-02-01 17:10:00
19,1675242300,97758.71200000,2244696441.45920000,2023-02-01 17:05:00
20,1675242000,97731.21300000,2245970779.07430000,2023-02-01 17:00:00
21,1675241700,97691.75100000,2245142052.30690000,2023-02-01 16:55:00
22,1675241400,97765.99900000,2246164698.62931600,2023-02-01 16:50:00
23,1675241100,97686.42900000,2246311556.07919260,2023-02-01 16:45:00
24,1675240800,97616.17200000,2244937677.18720000,2023-02-01 16:40:00
25,1675240500,97594.67200000,2243272092.72320000,2023-02-01 16:35:00
26,1675240200,97598.61500000,2241069157.49150000,2023-02-01 16:30:00
27,1675239900,97629.40500000,2244700474.25453000,2023-02-01 16:25:00
28,1675239600,97965.23200000,2255312014.26690340,2023-02-01 16:20:00
29,1675239300,97942.34500000,2257369731.25740800,2023-02-01 16:15:00
30,1675239000,98000.45700000,2261673525.31258200,2023-02-01 16:10:00
31,1675238700,97969.99500000,2259951030.74646000,2023-02-01 16:05:00
32,1675238400,97831.69400000,2257237534.37735100,2023-02-01 16:00:00
33,1675238100,97819.80700000,2258219154.49850000,2023-02-01 15:55:00
34,1675237800,97790.58300000,2255970075.46020000,2023-02-01 15:50:00
35,1675237500,97751.67600000,2256417777.04666600,2023-02-01 15:45:00
36,1675237200,97762.02500000,2256582165.86000000,2023-02-01 15:40:00
37,1675236900,97821.38000000,2259854091.00244700,2023-02-01 15:35:00
38,1675236600,97801.29000000,2259786826.61100000,2023-02-01 15:30:00
39,1675236300,97903.64600000,2260389588.48340000,2023-02-01 15:25:00
40,1675236000,97945.00100000,2261231482.36164800,2023-02-01 15:20:00
41,1675235700,97999.06700000,2261132472.89100000,2023-02-01 15:15:00
42,1675235400,98058.36500000,2259892303.13600000,2023-02-01 15:10:00
43,1675235100,98001.79400000,2257798060.45345350,2023-02-01 15:05:00
44,1675234800,98112.21400000,2262500815.83234170,2023-02-01 15:00:00
45,1675234500,97952.76900000,2260740113.24310000,2023-02-01 14:55:00
46,1675234200,97912.55800000,2259929542.45380000,2023-02-01 14:50:00
47,1675233900,97937.20100000,2260493843.64189000,2023-02-01 14:45:00
48,1675233600,98060.07700000,2265715170.26009500,2023-02-01 14:40:00
49,1675233300,97999.12400000,2265259551.17240000,2023-02-01 14:35:00
50,1675233000,97881.87000000,2260955487.61039260,2023-02-01 14:30:00
51,1675232700,97864.05500000,2260796680.17700000,2023-02-01 14:25:00
52,1675232400,97737.93800000,2255494348.23225100,2023-02-01 14:20:00
53,1675232100,97688.23000000,2257970281.82427400,2023-02-01 14:15:00
54,1675231800,97641.11100000,2257071921.87600000,2023-02-01 14:10:00
55,1675231500,97649.05000000,2257128496.03500000,2023-02-01 14:05:00
56,1675231200,97674.62500000,2257592677.47500000,2023-02-01 14:00:00
57,1675230900,97658.09100000,2257774738.73875900,2023-02-01 13:55:00
58,1675230600,97763.73600000,2260099706.56086640,2023-02-01 13:50:00
59,1675230300,97978.90000000,2265830647.73000000,2023-02-01 13:45:00
60,1675230000,98071.40100000,2268908806.31780430,2023-02-01 13:40:00
61,1675229700,98034.30100000,2269195136.69200800,2023-02-01 13:35:00
62,1675229400,97984.60900000,2268853218.31680000,2023-02-01 13:30:00
63,1675229100,97999.06700000,2268856736.04482170,2023-02-01 13:25:00
64,1675228800,97952.28300000,2267073130.44975600,2023-02-01 13:20:00
65,1675228500,97866.18400000,2265837038.44160000,2023-02-01 13:15:00
66,1675228200,97795.74100000,2263718297.50622270,2023-02-01 13:10:00
67,1675227900,97722.84300000,2261189967.78935900,2023-02-01 13:05:00
68,1675227600,97816.53700000,2262648466.42600700,2023-02-01 13:00:00
69,1675227300,97742.80400000,2260331665.34120000,2023-02-01 12:55:00
70,1675227000,97720.92700000,2259543777.31724170,2023-02-01 12:50:00
71,1675226700,97726.79100000,2261824612.65890030,2023-02-01 12:45:00
72,1675226400,97738.35100000,2260883535.33200000,2023-02-01 12:40:00
73,1675226100,97748.22000000,2261238897.72600000,2023-02-01 12:35:00
74,1675225800,97688.55200000,2259895036.64877940,2023-02-01 12:30:00
75,1675225500,97660.31600000,2258728814.67366840,2023-02-01 12:25:00
76,1675225200,97708.60800000,2258614579.64417100,2023-02-01 12:20:00
77,1675224900,97790.36200000,2261196226.16286660,2023-02-01 12:15:00
78,1675224600,97833.79800000,2263241277.31605050,2023-02-01 12:10:00
79,1675224300,97867.65400000,2264052333.59345900,2023-02-01 12:05:00
80,1675224000,97868.56200000,2263445380.79880000,2023-02-01 12:00:00
81,1675223700,97862.36700000,2262861725.90430000,2023-02-01 11:55:00
82,1675223400,97822.80000000,2260103902.56906900,2023-02-01 11:50:00
83,1675223100,97818.45800000,2259047945.51348450,2023-02-01 11:45:00
84,1675222800,97755.41200000,2256799515.61195000,2023-02-01 11:40:00
85,1675222500,97785.25500000,2255768933.49300000,2023-02-01 11:35:00
86,1675222200,97971.44600000,2260825652.27003050,2023-02-01 11:30:00
87,1675221900,98049.17200000,2262249325.88720000,2023-02-01 11:25:00
88,1675221600,97985.79900000,2261080124.42730240,2023-02-01 11:20:00
89,1675221300,97865.11300000,2260228020.72657780,2023-02-01 11:15:00
90,1675221000,97898.94600000,2260532238.02360440,2023-02-01 11:10:00
91,1675220700,97891.58500000,2260827849.93999530,2023-02-01 11:05:00
92,1675220400,97876.12800000,2261166823.96084550,2023-02-01 11:00:00
93,1675220100,97856.19800000,2260213962.06540000,2023-02-01 10:55:00
94,1675219800,97796.92000000,2257358287.13200000,2023-02-01 10:50:00
95,1675219500,97818.32000000,2258201721.60870300,2023-02-01 10:45:00
96,1675219200,97734.19400000,2256897554.68680000,2023-02-01 10:40:00
97,1675218900,97697.84300000,2257286469.87354500,2023-02-01 10:35:00
98,1675218600,97630.99400000,2253460024.91160000,2023-02-01 10:30:00
99,1675218300,97511.23800000,2250793400.01120000,2023-02-01 10:25:00
100,1675218000,97429.00700000,2248662632.43332530,2023-02-01 10:20:00
101,1675217700,97383.77500000,2248795870.67750000,2023-02-01 10:15:00
102,1675217400,97385.96600000,2249099079.00238370,2023-02-01 10:10:00
103,1675217100,97444.77500000,2251802583.08750000,2023-02-01 10:05:00
104,1675216800,97554.58800000,2255472477.96954500,2023-02-01 10:00:00
105,1675216500,97650.71000000,2257723475.48400000,2023-02-01 09:55:00
106,1675216200,97692.37400000,2261889056.08941500,2023-02-01 09:50:00
107,1675215900,97578.74200000,2259044684.35320430,2023-02-01 09:45:00
108,1675215600,97456.89300000,2253299408.51005360,2023-02-01 09:40:00
109,1675215300,97580.70900000,2251867766.63454900,2023-02-01 09:35:00
110,1675215000,97506.76000000,2248223115.99600000,2023-02-01 09:30:00
111,1675214700,97444.14700000,2247704324.25898700,2023-02-01 09:25:00
112,1675214400,97518.71000000,2250277787.26831960,2023-02-01 09:20:00
113,1675214100,97600.33000000,2255348425.64000000,2023-02-01 09:15:00
114,1675213800,97581.48300000,2254746781.16525500,2023-02-01 09:10:00
115,1675213500,97501.47400000,2251055607.59928560,2023-02-01 09:05:00
116,1675213200,97475.22300000,2249231023.20270000,2023-02-01 09:00:00
117,1675212900,97411.26900000,2248398261.74961800,2023-02-01 08:55:00
118,1675212600,97334.28800000,2247730979.35520000,2023-02-01 08:50:00
119,1675212300,97336.96700000,2245437392.24198630,2023-02-01 08:45:00
120,1675212000,97367.67200000,2245566910.10047500,2023-02-01 08:40:00
121,1675211700,97404.19900000,2245142345.40687900,2023-02-01 08:35:00
122,1675211400,97369.57300000,2242908114.05500000,2023-02-01 08:30:00
123,1675211100,97391.55300000,2247819053.26642040,2023-02-01 08:25:00
124,1675210800,97310.36100000,2244463476.46500000,2023-02-01 08:20:00
125,1675210500,97250.89200000,2245135887.74659700,2023-02-01 08:15:00
126,1675210200,97514.08200000,2248986775.98240000,2023-02-01 08:10:00
127,1675209900,97632.01100000,2258256147.17079730,2023-02-01 08:05:00
128,1675209600,97523.20100000,2254988393.14994700,2023-02-01 08:00:00
129,1675209300,97545.19000000,2257588964.98423620,2023-02-01 07:55:00
130,1675209000,97675.59400000,2259295094.57640000,2023-02-01 07:50:00
131,1675208700,97695.45300000,2258526228.94282340,2023-02-01 07:45:00
132,1675208400,97846.15800000,2262095542.18620000,2023-02-01 07:40:00
133,1675208100,97849.56800000,2260864568.81122700,2023-02-01 07:35:00
134,1675207800,97702.00700000,2257460785.33227300,2023-02-01 07:30:00
135,1675207500,97706.51600000,2258331035.40435300,2023-02-01 07:25:00
136,1675207200,97619.01000000,2256170559.12000000,2023-02-01 07:20:00
137,1675206900,97659.67300000,2255997042.10380000,2023-02-01 07:15:00
138,1675206600,97545.70800000,2254532634.10660170,2023-02-01 07:10:00
139,1675206300,97227.50000000,2247958136.50000000,2023-02-01 07:05:00
140,1675206000,97540.94100000,2260650921.42022900,2023-02-01 07:00:00
141,1675205700,97422.07400000,2262114171.87464140,2023-02-01 06:55:00
142,1675205400,98098.41900000,2270164182.97230000,2023-02-01 06:50:00
143,1675205100,99270.94200000,2281131777.56676300,2023-02-01 06:45:00
144,1675204800,99532.20100000,2284555089.13080700,2023-02-01 06:40:00
145,1675204500,99545.50500000,2283504202.84650000,2023-02-01 06:35:00
146,1675204200,99660.25500000,2281372727.33250000,2023-02-01 06:30:00
147,1675203900,99748.98900000,2285726521.61048840,2023-02-01 06:25:00
148,1675203600,99773.06300000,2284931502.52749630,2023-02-01 06:20:00
149,1675203300,99768.60000000,2285798394.60000000,2023-02-01 06:15:00
150,1675203000,99797.21100000,2290296093.84450000,2023-02-01 06:10:00
151,1675202700,99817.08000000,2290013431.06800000,2023-02-01 06:05:00
152,1675202400,99770.13100000,2289125885.66400000,2023-02-01 06:00:00
153,1675202100,99731.93100000,2285071508.97055700,2023-02-01 05:55:00
154,1675201800,99763.96400000,2283986215.41960000,2023-02-01 05:50:00
155,1675201500,99708.19600000,2280326442.52000000,2023-02-01 05:45:00
156,1675201200,99751.95400000,2281726195.79600000,2023-02-01 05:40:00
157,1675200900,99875.58900000,2290187206.00560000,2023-02-01 05:35:00
158,1675200600,99874.12200000,2295592607.77302300,2023-02-01 05:30:00
159,1675200300,99735.27100000,2295197817.99590000,2023-02-01 05:25:00
160,1675200000,99506.36200000,2284656120.88380000,2023-02-01 05:20:00
161,1675199700,101003.10200000,2329757751.35240000,2023-02-01 05:15:00
162,1675199400,100911.35700000,2330105321.65277600,2023-02-01 05:10:00
163,1675199100,100935.75900000,2332119721.40821200,2023-02-01 05:05:00
164,1675198800,100934.98100000,2330649547.34257270,2023-02-01 05:00:00
165,1675198500,100905.42200000,2333264745.31586550,2023-02-01 04:55:00
166,1675198200,101103.46300000,2337400850.75070000,2023-02-01 04:50:00
167,1675197900,101054.61800000,2333654293.47400000,2023-02-01 04:45:00
168,1675197600,101021.87600000,2331342445.57760000,2023-02-01 04:40:00
169,1675197300,100857.58300000,2325634663.36380000,2023-02-01 04:35:00
170,1675197000,101120.12400000,2334924748.36774500,2023-02-01 04:30:00
171,1675196700,101073.39200000,2336102579.11800400,2023-02-01 04:25:00
172,1675196400,101046.62000000,2333738328.60731170,2023-02-01 04:20:00
173,1675196100,100966.70900000,2333639140.79871300,2023-02-01 04:15:00
174,1675195800,100874.20300000,2334259319.68090000,2023-02-01 04:10:00
175,1675195500,100817.27300000,2334284878.60360000,2023-02-01 04:05:00
176,1675195200,100760.72500000,2333370340.63320880,2023-02-01 04:00:00
177,1675194900,100775.99900000,2333846780.53886650,2023-02-01 03:55:00
178,1675194600,100742.74200000,2332516854.07440000,2023-02-01 03:50:00
179,1675194300,100789.59100000,2335014326.80626340,2023-02-01 03:45:00
180,1675194000,100858.79900000,2334770252.17110000,2023-02-01 03:40:00
181,1675193700,100876.28700000,2333585554.12156530,2023-02-01 03:35:00
182,1675193400,100837.62000000,2331910297.54800000,2023-02-01 03:30:00
183,1675193100,100889.45300000,2330894539.50053930,2023-02-01 03:25:00
184,1675192800,100929.04300000,2330169001.54960000,2023-02-01 03:20:00
185,1675192500,100844.73000000,2331628979.23445750,2023-02-01 03:15:00
186,1675192200,100834.50000000,2334359008.80000000,2023-02-01 03:10:00
187,1675191900,100803.37100000,2332487144.72762440,2023-02-01 03:05:00
188,1675191600,101046.77200000,2340227655.23600800,2023-02-01 03:00:00
189,1675191300,101037.22100000,2340527224.46500000,2023-02-01 02:55:00
190,1675191000,101090.87300000,2342265418.32270000,2023-02-01 02:50:00
191,1675190700,101076.83500000,2338373078.30487160,2023-02-01 02:45:00
192,1675190400,101066.32800000,2336906169.18000000,2023-02-01 02:40:00
193,1675190100,100978.71200000,2334264298.07680000,2023-02-01 02:35:00
