,timestamp,oi,notional,datetime
0,1675248000,973615.07700000,1530006885.05319000,2023-02-01 18:40:00
1,1675247700,973737.54100000,1530799953.15734980,2023-02-01 18:35:00
2,1675247400,975211.50300000,1535265717.05787000,2023-02-01 18:30:00
3,1675247100,975039.85300000,1535094416.52355650,2023-02-01 18:25:00
4,1675246800,974587.76400000,1534441988.44020180,2023-02-01 18:20:00
5,1675246500,973260.39200000,1532495075.95952270,2023-02-01 18:15:00
6,1675246200,972970.78700000,1531340046.95422940,2023-02-01 18:10:00
7,1675245900,972844.85200000,1530450335.82084000,2023-02-01 18:05:00
8,1675245600,972652.72600000,1530303311.05005340,2023-02-01 18:00:00
9,1675245300,972795.63600000,1529539647.14583750,2023-02-01 17:55:00
10,1675245000,972766.63500000,1530677483.17155000,2023-02-01 17:50:00
11,1675244700,972496.32200000,1529610289.98414000,2023-02-01 17:45:00
12,1675244400,972917.62200000,1530837232.33590000,2023-02-01 17:40:00
13,1675244100,972188.29100000,1530117429.32199000,2023-02-01 17:35:00
14,1675243800,972024.22000000,1530767292.56837990,2023-02-01 17:30:00
15,1675243500,972159.72500000,1530334952.70600000,2023-02-01 17:25:00
16,1675243200,971854.07100000,1530162866.50770000,2023-02-01 17:20:00
17,1675242900,973796.36900000,1531103560.42573570,2023-02-01 17:15:00
18,1675242600,971842.33300000,1525850773.34998000,2023-02-01 17:10:00
19,1675242300,971716.24700000,1525050346.69168000,2023-02-01 17:05:00
20,1675242000,970614.57900000,1524301665.59055000,2023-02-01 17:00:00
21,1675241700,969816.49600000,1523736885.85536000,2023-02-01 16:55:00
22,1675241400,970346.78300000,1523955946.53102280,2023-02-01 16:50:00
23,1675241100,971274.88300000,1527062352.32481150,2023-02-01 16:45:00
24,1675240800,971257.60300000,1526710113.57967000,2023-02-01 16:40:00
25,1675240500,970845.03400000,1525349818.92379600,2023-02-01 16:35:00
26,1675240200,971500.06100000,1523972715.68948000,2023-02-01 16:30:00
27,1675239900,970755.32500000,1524595323.02193450,2023-02-01 16:25:00
28,1675239600,969227.32600000,1522858618.57787660,2023-02-01 16:20:00
29,1675239300,970137.98900000,1527404652.64138000,2023-02-01 16:15:00
30,1675239000,969714.02100000,1528279120.35721560,2023-02-01 16:10:00
31,1675238700,969693.30300000,1526229380.39079000,2023-02-01 16:05:00
32,1675238400,966455.13200000,1522307471.16087200,2023-02-01 16:00:00
33,1675238100,966981.97500000,1525007933.13300000,2023-02-01 15:55:00
34,1675237800,967482.37700000,1523872682.35037100,2023-02-01 15:50:00
35,1675237500,967680.06000000,1525518584.18820000,2023-02-01 15:45:00
36,1675237200,967521.34100000,1524777370.34848120,2023-02-01 15:40:00
37,1675236900,967413.17800000,1526304816.43155000,2023-02-01 15:35:00
38,1675236600,967576.15700000,1526472241.17088940,2023-02-01 15:30:00
39,1675236300,967746.81800000,1526313578.21371580,2023-02-01 15:25:00
40,1675236000,967523.98200000,1525600415.92197040,2023-02-01 15:20:00
41,1675235700,967429.31500000,1525084595.04545000,2023-02-01 15:15:00
42,1675235400,968492.59200000,1523485169.62589480,2023-02-01 15:10:00
43,1675235100,968140.86700000,1522169159.54942000,2023-02-01 15:05:00
44,1675234800,971765.86300000,1530128060.40454960,2023-02-01 15:00:00
45,1675234500,971913.83300000,1533515317.91598990,2023-02-01 14:55:00
46,1675234200,971974.87800000,1534466459.64738000,2023-02-01 14:50:00
47,1675233900,971715.08600000,1534319866.15439440,2023-02-01 14:45:00
48,1675233600,972190.19700000,1536420058.59659390,2023-02-01 14:40:00
49,1675233300,973353.10500000,1538759475.34807830,2023-02-01 14:35:00
50,1675233000,973592.56300000,1537223943.44946240,2023-02-01 14:30:00
51,1675232700,973135.19500000,1536483159.38550000,2023-02-01 14:25:00
52,1675232400,974220.12800000,1536364626.25856000,2023-02-01 14:20:00
53,1675232100,975461.15000000,1543046677.99921920,2023-02-01 14:15:00
54,1675231800,975531.01300000,1544109508.61692000,2023-02-01 14:10:00
55,1675231500,976064.14100000,1544816715.96070000,2023-02-01 14:05:00
56,1675231200,975867.42400000,1544515130.63904000,2023-02-01 14:00:00
57,1675230900,976022.40500000,1544448093.44795000,2023-02-01 13:55:00
58,1675230600,975807.71100000,1544166912.27195000,2023-02-01 13:50:00
59,1675230300,976264.32100000,1545045677.05781000,2023-02-01 13:45:00
60,1675230000,975886.42500000,1544828210.77500000,2023-02-01 13:40:00
61,1675229700,976690.43500000,1547734839.52854850,2023-02-01 13:35:00
62,1675229400,976155.56800000,1547696054.40364890,2023-02-01 13:30:00
63,1675229100,976155.93500000,1547018557.19596720,2023-02-01 13:25:00
64,1675228800,976051.14600000,1546163728.73347880,2023-02-01 13:20:00
65,1675228500,976058.05700000,1546085722.86857000,2023-02-01 13:15:00
66,1675228200,976458.84100000,1546339749.78442000,2023-02-01 13:10:00
67,1675227900,976403.78300000,1546203738.64531000,2023-02-01 13:05:00
68,1675227600,976531.60600000,1545523161.88101600,2023-02-01 13:00:00
69,1675227300,976379.83700000,1545066305.21228270,2023-02-01 12:55:00
70,1675227000,976192.81000000,1544622844.88355420,2023-02-01 12:50:00
71,1675226700,976657.13300000,1547116169.92781970,2023-02-01 12:45:00
72,1675226400,976319.10400000,1545962248.41984000,2023-02-01 12:40:00
73,1675226100,976054.54700000,1544895308.20290730,2023-02-01 12:35:00
74,1675225800,977423.38800000,1547927435.69877980,2023-02-01 12:30:00
75,1675225500,977489.33500000,1547195516.38017900,2023-02-01 12:25:00
76,1675225200,978518.63300000,1549073277.52964000,2023-02-01 12:20:00
77,1675224900,978442.14200000,1550067511.54291900,2023-02-01 12:15:00
78,1675224600,978645.13600000,1551291121.93722270,2023-02-01 12:10:00
79,1675224300,977905.90000000,1549860848.51091100,2023-02-01 12:05:00
80,1675224000,977884.86000000,1549397748.68996120,2023-02-01 12:00:00
81,1675223700,978171.15000000,1549311249.22559930,2023-02-01 11:55:00
82,1675223400,978171.81100000,1548856808.97362000,2023-02-01 11:50:00
83,1675223100,977848.41700000,1548002493.50019000,2023-02-01 11:45:00
84,1675222800,977835.25000000,1547360999.81797100,2023-02-01 11:40:00
85,1675222500,979013.59600000,1548172940.17056000,2023-02-01 11:35:00
86,1675222200,978518.49600000,1547673779.19840000,2023-02-01 11:30:00
87,1675221900,977935.05000000,1545900168.33900000,2023-02-01 11:25:00
88,1675221600,977031.30000000,1545634205.66100000,2023-02-01 11:20:00
89,1675221300,976318.76100000,1545537641.20993020,2023-02-01 11:15:00
90,1675221000,975864.80500000,1544940366.03575000,2023-02-01 11:10:00
91,1675220700,974091.27800000,1543498279.97103670,2023-02-01 11:05:00
92,1675220400,974289.06500000,1544803512.79205000,2023-02-01 11:00:00
93,1675220100,974163.83400000,1544127609.99672000,2023-02-01 10:55:00
94,1675219800,974105.36100000,1542291277.01769000,2023-02-01 10:50:00
95,1675219500,973897.50500000,1542741403.87638040,2023-02-01 10:45:00
96,1675219200,973980.97800000,1542194887.30810740,2023-02-01 10:40:00
97,1675218900,974104.31800000,1543854482.68753800,2023-02-01 10:35:00
98,1675218600,973589.49800000,1541461356.67834700,2023-02-01 10:30:00
99,1675218300,972995.89000000,1539765995.92500000,2023-02-01 10:25:00
100,1675218000,972766.31400000,1540551760.09974860,2023-02-01 10:20:00
101,1675217700,973936.02800000,1544478371.10167400,2023-02-01 10:15:00
102,1675217400,973670.52700000,1544574581.72118830,2023-02-01 10:10:00
103,1675217100,974453.08400000,1546971856.42797520,2023-02-01 10:05:00
104,1675216800,974694.06000000,1548469557.14119400,2023-02-01 10:00:00
105,1675216500,974487.38700000,1548001884.96449380,2023-02-01 09:55:00
106,1675216200,975020.32700000,1551725350.01396000,2023-02-01 09:50:00
107,1675215900,973902.71700000,1547299362.88308300,2023-02-01 09:45:00
108,1675215600,974531.38200000,1545818092.20919370,2023-02-01 09:40:00
109,1675215300,972336.42300000,1538788950.99848410,2023-02-01 09:35:00
110,1675215000,972219.90900000,1536992176.33719000,2023-02-01 09:30:00
111,1675214700,972347.71000000,1539955685.71250000,2023-02-01 09:25:00
112,1675214400,971949.21600000,1539707364.33977600,2023-02-01 09:20:00
113,1675214100,971835.27200000,1541343308.53404450,2023-02-01 09:15:00
114,1675213800,972205.01900000,1541926882.18419000,2023-02-01 09:10:00
115,1675213500,971776.82000000,1539579576.44690230,2023-02-01 09:05:00
116,1675213200,972187.00000000,1538874802.30000000,2023-02-01 09:00:00
117,1675212900,972233.02300000,1540596609.56843300,2023-02-01 08:55:00
118,1675212600,971924.62100000,1541229467.75075000,2023-02-01 08:50:00
119,1675212300,971686.71500000,1539229066.59803320,2023-02-01 08:45:00
120,1675212000,971534.26000000,1539357173.59960000,2023-02-01 08:40:00
121,1675211700,971366.76600000,1536827425.30462620,2023-02-01 08:35:00
122,1675211400,971314.04100000,1536049445.06407830,2023-02-01 08:30:00
123,1675211100,970734.92100000,1538779874.72157000,2023-02-01 08:25:00
124,1675210800,970657.23500000,1536288325.55155000,2023-02-01 08:20:00
125,1675210500,970019.07200000,1537276525.11488000,2023-02-01 08:15:00
126,1675210200,970036.23700000,1534959837.61437080,2023-02-01 08:10:00
127,1675209900,971014.26900000,1540124608.54884000,2023-02-01 08:05:00
128,1675209600,969721.72600000,1537136370.83726720,2023-02-01 08:00:00
129,1675209300,969375.26800000,1538576642.27291150,2023-02-01 07:55:00
130,1675209000,968041.81700000,1534453093.70812900,2023-02-01 07:50:00
131,1675208700,967557.30800000,1532809966.87564680,2023-02-01 07:45:00
132,1675208400,967400.21500000,1532323372.99312660,2023-02-01 07:40:00
133,1675208100,967711.14600000,1531903493.09800400,2023-02-01 07:35:00
134,1675207800,966967.46600000,1530259304.36650440,2023-02-01 07:30:00
135,1675207500,966388.20800000,1529823002.96234870,2023-02-01 07:25:00
136,1675207200,965049.72900000,1529227451.07069000,2023-02-01 07:20:00
137,1675206900,965203.25000000,1528659807.92946930,2023-02-01 07:15:00
138,1675206600,965834.32600000,1531436565.64886000,2023-02-01 07:10:00
139,1675206300,967045.68400000,1533773136.65136000,2023-02-01 07:05:00
140,1675206000,970247.27000000,1542858101.33590000,2023-02-01 07:00:00
141,1675205700,971688.86800000,1549566596.78609350,2023-02-01 06:55:00
142,1675205400,977562.78200000,1553542773.15440000,2023-02-01 06:50:00
143,1675205100,979762.24700000,1546112012.71282800,2023-02-01 06:45:00
144,1675204800,979560.00900000,1544384105.78949000,2023-02-01 06:40:00
145,1675204500,979331.78900000,1544151604.98786000,2023-02-01 06:35:00
146,1675204200,979321.72900000,1539601483.37819000,2023-02-01 06:30:00
147,1675203900,978688.30300000,1539246559.36337000,2023-02-01 06:25:00
148,1675203600,977647.45300000,1537872673.97212740,2023-02-01 06:20:00
149,1675203300,977156.76400000,1537780306.99473520,2023-02-01 06:15:00
150,1675203000,977843.92100000,1542035682.74492880,2023-02-01 06:10:00
151,1675202700,977410.87900000,1540866878.03212860,2023-02-01 06:05:00
152,1675202400,977162.59600000,1541162311.85491300,2023-02-01 06:00:00
153,1675202100,977671.06900000,1539965742.44987800,2023-02-01 05:55:00
154,1675201800,976877.69600000,1536886894.03574350,2023-02-01 05:50:00
155,1675201500,976788.37100000,1535149907.51473000,2023-02-01 05:45:00
156,1675201200,977176.37500000,1535544727.43875000,2023-02-01 05:40:00
157,1675200900,976901.67600000,1535269366.95132000,2023-02-01 05:35:00
158,1675200600,976397.76400000,1539743678.73978660,2023-02-01 05:30:00
159,1675200300,976034.08900000,1541094683.87959770,2023-02-01 05:25:00
160,1675200000,972893.53400000,1530347132.22023100,2023-02-01 05:20:00
161,1675199700,985462.47000000,1560942988.60590000,2023-02-01 05:15:00
162,1675199400,985128.38600000,1562325648.04395580,2023-02-01 05:10:00
163,1675199100,985961.92200000,1566910405.68084000,2023-02-01 05:05:00
164,1675198800,986299.04700000,1565469285.92751980,2023-02-01 05:00:00
165,1675198500,987502.30800000,1570851219.67812590,2023-02-01 04:55:00
166,1675198200,988536.66200000,1571901802.34606000,2023-02-01 04:50:00
167,1675197900,988806.52800000,1567604429.16480000,2023-02-01 04:45:00
168,1675197600,987861.09600000,1565621536.60656000,2023-02-01 04:40:00
169,1675197300,988402.89700000,1565630188.84800000,2023-02-01 04:35:00
170,1675197000,992597.86500000,1576955112.07092980,2023-02-01 04:30:00
171,1675196700,994041.66200000,1581555281.91411280,2023-02-01 04:25:00
172,1675196400,994382.97700000,1582441181.93826000,2023-02-01 04:20:00
173,1675196100,993247.72900000,1581727143.47792000,2023-02-01 04:15:00
174,1675195800,994649.64600000,1586784473.25672000,2023-02-01 04:10:00
175,1675195500,995637.27300000,1589830010.30504370,2023-02-01 04:05:00
176,1675195200,995458.43600000,1590071935.67114830,2023-02-01 04:00:00
177,1675194900,996090.59900000,1591034677.72888540,2023-02-01 03:55:00
178,1675194600,997507.44100000,1592715124.50497820,2023-02-01 03:50:00
179,1675194300,994903.02000000,1589397127.38665490,2023-02-01 03:45:00
180,1675194000,995289.59600000,1586232840.72904000,2023-02-01 03:40:00
181,1675193700,995768.96100000,1585508054.32104370,2023-02-01 03:35:00
182,1675193400,996294.39800000,1585004757.77820000,2023-02-01 03:30:00
183,1675193100,996112.15100000,1582660453.96852610,2023-02-01 03:25:00
184,1675192800,995145.17000000,1580658733.67290000,2023-02-01 03:20:00
185,1675192500,992342.48900000,1578792122.15969850,2023-02-01 03:15:00
186,1675192200,992570.99700000,1581177507.61388470,2023-02-01 03:10:00
187,1675191900,992277.20500000,1581118088.92465380,2023-02-01 03:05:00
188,1675191600,992396.55100000,1582091281.64027790,2023-02-01 03:00:00
189,1675191300,992259.86500000,1582158354.74250000,2023-02-01 02:55:00
190,1675191000,991999.09100000,1581474721.29068040,2023-02-01 02:50:00
191,1675190700,993022.86200000,1579819931.61304000,2023-02-01 02:45:00
192,1675190400,994888.77800000,1583085679.12098070,2023-02-01 02:40:00
193,1675190100,994642.79000000,1582088768.20190000,2023-02-01 02:35:00
194,1675189800,992941.10600000,1579858664.34554000,2023-02-01 02:30:00
195,1675189500,993798.49400000,1580934321.95641040,2023-02-01 02:25:00
196,1675189200,992227.00300000,1578533939.07270000,2023-02-01 02:20:00
197,1675188900,991727.93200000,1578305251.94004000,2023-02-01 02:15:00
198,1675188600,991204.07100000,1577604536.37220720,2023-02-01 02:10:00
199,1675188300,990706.10500000,1576550253.13070000,2023-02-01 02:05:00
200,1675188000,989467.39900000,1576073146.49715000,2023-02-01 02:00:00
201,1675187700,989097.64000000,1574926092.16927500,2023-02-01 01:55:00
202,1675187400,989306.39200000,1576829343.27032300,2023-02-01 01:50:00
203,1675187100,988837.29100000,1577458793.86836430,2023-02-01 01:45:00
204,1675186800,989236.56500000,1576170893.62563940,2023-02-01 01:40:00
205,1675186500,990289.46500000,1576265594.47501680,2023-02-01 01:35:00
206,1675186200,989519.75300000,1576245595.34382000,2023-02-01 01:30:00
207,1675185900,989048.01900000,1575322977.62655950,2023-02-01 01:25:00
208,1675185600,988753.44400000,1575591696.56541000,2023-02-01 01:20:00
209,1675185300,989119.47600000,1573936366.18500000,2023-02-01 01:15:00
210,1675185000,990440.23000000,1575522987.06790000,2023-02-01 01:10:00
211,1675184700,990718.55200000,1575781748.82935950,2023-02-01 01:05:00
212,1675184400,991163.51600000,1579270388.21860000,2023-02-01 01:00:00
213,1675184100,990516.04100000,1579159913.84548000,2023-02-01 00:55:00
214,1675183800,990588.72000000,1577358775.79431600,2023-02-01 00:50:00
215,1675183500,988205.29000000,1574866735.85603860,2023-02-01 00:45:00
216,1675183200,987317.59300000,1580280087.30881710,2023-02-01 00:40:00
217,1675182900,1000066.76500000,1592459348.58039050,2023-02-01 00:35:00
218,1675182600,998867.00400000,1587739057.53816000,2023-02-01 00:30:00
219,1675182300,998500.84200000,1586268362.64330000,2023-02-01 00:25:00
220,1675182000,997871.13400000,1584040595.53428000,2023-02-01 00:20:00
221,1675181700,998288.30000000,1584163737.50400000,2023-02-01 00:15:00
222,1675181400,998389.63300000,1587549339.32963000,2023-02-01 00:10:00
223,1675181100,998410.84900000,1585975633.63650000,2023-02-01 00:05:00
224,1675180800,997445.62200000,1584312702.61614000,2023-02-01 00:00:00
225,1675180500,997785.98100000,1586002827.95824070,2023-01-31 23:55:00
226,1675180200,995750.89700000,1583333543.81073000,2023-01-31 23:50:00
227,1675179900,996073.23800000,1584858113.80816460,2023-01-31 23:45:00
228,1675179600,997245.66400000,1588419582.60460140,2023-01-31 23:40:00
229,1675179300,996833.93000000,1585952814.29070000,2023-01-31 23:35:00
230,1675179000,1001147.15900000,1589291080.49773000,2023-01-31 23:30:00
231,1675178700,999402.50300000,1586289094.56685880,2023-01-31 23:25:00
232,1675178400,1000466.06400000,1588239876.60000000,2023-01-31 23:20:00
233,1675178100,999366.30100000,1584645175.18065000,2023-01-31 23:15:00
234,1675177800,999841.70300000,1581981882.79641560,2023-01-31 23:10:00
235,1675177500,999921.93500000,1582807013.36389450,2023-01-31 23:05:00
236,1675177200,999720.74300000,1582469567.39349250,2023-01-31 23:00:00
237,1675176900,999166.50400000,1586028008.35163600,2023-01-31 22:55:00
238,1675176600,999518.78200000,1585346735.31802000,2023-01-31 22:50:00
239,1675176300,999198.65500000,1582101174.36735000,2023-01-31 22:45:00
240,1675176000,1001243.81000000,1583266471.91978050,2023-01-31 22:40:00
241,1675175700,1000524.51400000,1585965482.67512460,2023-01-31 22:35:00
242,1675175400,999191.92500000,1580841528.38100000,2023-01-31 22:30:00
243,1675175100,998637.10900000,1582969640.58917000,2023-01-31 22:25:00
244,1675174800,997322.42200000,1579140376.54636000,2023-01-31 22:20:00
245,1675174500,998366.73600000,1580342020.80979970,2023-01-31 22:15:00
246,1675174200,998848.51200000,1582126100.58240000,2023-01-31 22:10:00
247,1675173900,998468.44200000,1583151771.64121560,2023-01-31 22:05:00
248,1675173600,995841.31200000,1580986914.13546540,2023-01-31 22:00:00
249,1675173300,992941.13200000,1573959462.96462900,2023-01-31 21:55:00
250,1675173000,991561.18500000,1569185237.70990000,2023-01-31 21:50:00
251,1675172700,989969.57000000,1570368929.49960000,2023-01-31 21:45:00
252,1675172400,986656.27400000,1564458612.99045920,2023-01-31 21:40:00
253,1675172100,983392.21700000,1552058434.32459000,2023-01-31 21:35:00
254,1675171800,984038.08700000,1547990314.65970000,2023-01-31 21:30:00
255,1675171500,984594.99400000,1550980033.91124630,2023-01-31 21:25:00
256,1675171200,985923.44800000,1556270303.43352000,2023-01-31 21:20:00
257,1675170900,986933.71800000,1556049046.48470000,2023-01-31 21:15:00
258,1675170600,987494.15500000,1556225885.04891370,2023-01-31 21:10:00
259,1675170300,987082.34100000,1555220815.01361470,2023-01-31 21:05:00
260,1675170000,984428.51000000,1549090337.75545860,2023-01-31 21:00:00
261,1675169700,984310.43500000,1550761404.13380000,2023-01-31 20:55:00
262,1675169400,984330.44300000,1548725128.44373700,2023-01-31 20:50:00
263,1675169100,984347.26600000,1547211001.35429550,2023-01-31 20:45:00
264,1675168800,984369.56800000,1547743033.21052580,2023-01-31 20:40:00
265,1675168500,984826.35200000,1551014273.28769250,2023-01-31 20:35:00
266,1675168200,984128.36400000,1550161214.16140820,2023-01-31 20:30:00
267,1675167900,984403.79000000,1549878064.69235780,2023-01-31 20:25:00
268,1675167600,983182.52500000,1546378970.79575000,2023-01-31 20:20:00
269,1675167300,983310.07600000,1545763730.88577410,2023-01-31 20:15:00
270,1675167000,983130.82700000,1545285150.69420480,2023-01-31 20:10:00
271,1675166700,984240.04200000,1548991945.80821660,2023-01-31 20:05:00
272,1675166400,985448.87900000,1548098628.51899550,2023-01-31 20:00:00
273,1675166100,985660.88800000,1548719670.27000000,2023-01-31 19:55:00
274,1675165800,985650.81800000,1548387562.17323400,2023-01-31 19:50:00
275,1675165500,985449.20500000,1547667685.43660000,2023-01-31 19:45:00
276,1675165200,984992.28200000,1548057846.50437100,2023-01-31 19:40:00
277,1675164900,986375.47400000,1545294540.25288940,2023-01-31 19:35:00
278,1675164600,985720.91700000,1545876542.50359000,2023-01-31 19:30:00
279,1675164300,986071.03300000,1547470548.16116290,2023-01-31 19:25:00
280,1675164000,985607.05000000,1547403068.50000000,2023-01-31 19:20:00
281,1675163700,986011.60300000,1547002904.52685000,2023-01-31 19:15:00
282,1675163400,986310.29500000,1547203730.73932980,2023-01-31 19:10:00
283,1675163100,985571.80400000,1546165046.11520000,2023-01-31 19:05:00
284,1675162800,984786.89000000,1543321713.81783910,2023-01-31 19:00:00
285,1675162500,987608.94700000,1549827643.53900670,2023-01-31 18:55:00
286,1675162200,986641.19300000,1549024618.78357050,2023-01-31 18:50:00
287,1675161900,986917.70500000,1549492387.10868860,2023-01-31 18:45:00
288,1675161600,987136.43100000,1551136830.85185000,2023-01-31 18:40:00
289,1675161300,987145.43500000,1552667689.90739870,2023-01-31 18:35:00
290,1675161000,986619.65200000,1552203222.15305100,2023-01-31 18:30:00
291,1675160700,986036.82600000,1550307883.04365500,2023-01-31 18:25:00
292,1675160400,985740.72600000,1548401532.40080000,2023-01-31 18:20:00
293,1675160100,986126.79300000,1546917377.64324000,2023-01-31 18:15:00
294,1675159800,985096.41200000,1546926448.65596000,2023-01-31 18:10:00
295,1675159500,984935.93600000,1546788804.79910100,2023-01-31 18:05:00
296,1675159200,984034.51600000,1546901351.02590660,2023-01-31 18:00:00
297,1675158900,983820.23700000,1546230913.68342000,2023-01-31 17:55:00
298,1675158600,983471.38100000,1546458602.85893270,2023-01-31 17:50:00
299,1675158300,982849.41800000,1546179390.42088000,2023-01-31 17:45:00
300,1675158000,982127.89500000,1543674437.30237080,2023-01-31 17:40:00
301,1675157700,982604.28900000,1543891005.29012660,2023-01-31 17:35:00
302,1675157400,981896.40000000,1543568107.75983300,2023-01-31 17:30:00
303,1675157100,981586.86000000,1543253052.21350340,2023-01-31 17:25:00
304,1675156800,981040.08600000,1542116531.98512000,2023-01-31 17:20:00
305,1675156500,980855.93800000,1544171153.98210240,2023-01-31 17:15:00
306,1675156200,979621.72100000,1543020659.10043100,2023-01-31 17:10:00
307,1675155900,976158.47800000,1534497956.38125400,2023-01-31 17:05:00
308,1675155600,975594.24400000,1533120064.13231280,2023-01-31 17:00:00
309,1675155300,976038.25000000,1531745627.63750000,2023-01-31 16:55:00
310,1675155000,976128.64200000,1531096820.12268000,2023-01-31 16:50:00
311,1675154700,977316.83900000,1534350703.79928950,2023-01-31 16:45:00
312,1675154400,977426.56500000,1535210342.13678380,2023-01-31 16:40:00
313,1675154100,977744.03400000,1537688264.83146000,2023-01-31 16:35:00
314,1675153800,978354.12100000,1539352157.52261000,2023-01-31 16:30:00
315,1675153500,977966.40600000,1539750275.47493740,2023-01-31 16:25:00
316,1675153200,978140.87400000,1542256771.45945070,2023-01-31 16:20:00
317,1675152900,977621.85800000,1540683167.11510000,2023-01-31 16:15:00
318,1675152600,977808.41900000,1541916308.48468280,2023-01-31 16:10:00
319,1675152300,979174.86800000,1546554986.36886720,2023-01-31 16:05:00
320,1675152000,981488.59800000,1550653835.98020000,2023-01-31 16:00:00
321,1675151700,980974.49900000,1548650799.72790770,2023-01-31 15:55:00
322,1675151400,980382.76800000,1547092932.55310900,2023-01-31 15:50:00
323,1675151100,982583.52100000,1545532017.55248930,2023-01-31 15:45:00
324,1675150800,982404.45200000,1544540908.55365000,2023-01-31 15:40:00
325,1675150500,982586.66900000,1544018950.17996300,2023-01-31 15:35:00
326,1675150200,982707.35400000,1542912770.74086570,2023-01-31 15:30:00
327,1675149900,982458.04400000,1541535618.51864000,2023-01-31 15:25:00
328,1675149600,982276.16300000,1541124003.25072030,2023-01-31 15:20:00
329,1675149300,982563.92700000,1542467804.87764000,2023-01-31 15:15:00
330,1675149000,982012.00000000,1542662291.04000000,2023-01-31 15:10:00
331,1675148700,982724.22500000,1541388942.97436700,2023-01-31 15:05:00
332,1675148400,981017.36100000,1536194705.93712000,2023-01-31 15:00:00
333,1675148100,981017.76800000,1537879661.28577520,2023-01-31 14:55:00
334,1675147800,980976.09100000,1538087526.64400220,2023-01-31 14:50:00
335,1675147500,980574.45800000,1538246763.75376000,2023-01-31 14:45:00
336,1675147200,980287.58700000,1536779012.67012100,2023-01-31 14:40:00
337,1675146900,981006.87200000,1535371800.32457420,2023-01-31 14:35:00
338,1675146600,981121.30700000,1535739370.63403000,2023-01-31 14:30:00
339,1675146300,980906.70400000,1535792777.29103950,2023-01-31 14:25:00
340,1675146000,980886.90900000,1535785237.53464270,2023-01-31 14:20:00
341,1675145700,981120.77400000,1533905567.37737680,2023-01-31 14:15:00
342,1675145400,980588.03900000,1533610275.35483000,2023-01-31 14:10:00
343,1675145100,980431.19700000,1532208070.35963000,2023-01-31 14:05:00
344,1675144800,980296.45600000,1531213261.30744000,2023-01-31 14:00:00
345,1675144500,981890.01100000,1538105753.40784840,2023-01-31 13:55:00
346,1675144200,980908.77900000,1535956011.59715000,2023-01-31 13:50:00
347,1675143900,981223.83300000,1538727394.33013630,2023-01-31 13:45:00
348,1675143600,980978.72900000,1539491579.61455350,2023-01-31 13:40:00
349,1675143300,979271.73200000,1537447562.74896070,2023-01-31 13:35:00
350,1675143000,976920.55900000,1535328350.52440000,2023-01-31 13:30:00
351,1675142700,977179.71300000,1535251012.77295760,2023-01-31 13:25:00
352,1675142400,976892.11500000,1534599823.45350000,2023-01-31 13:20:00
353,1675142100,976565.86000000,1535600986.55700000,2023-01-31 13:15:00
354,1675141800,976503.05200000,1533431796.58761670,2023-01-31 13:10:00
355,1675141500,976331.15600000,1534459875.81249000,2023-01-31 13:05:00
356,1675141200,975586.17900000,1534314669.61106100,2023-01-31 13:00:00
357,1675140900,976321.00100000,1533995556.77120000,2023-01-31 12:55:00
358,1675140600,975804.33000000,1533200847.42450050,2023-01-31 12:50:00
359,1675140300,975233.52600000,1531255212.36905460,2023-01-31 12:45:00
360,1675140000,975289.38500000,1531872049.74752070,2023-01-31 12:40:00
361,1675139700,974379.68100000,1530697576.55292180,2023-01-31 12:35:00
362,1675139400,974562.43200000,1530300855.16304180,2023-01-31 12:30:00
